"LOCATION","Country","CAT","Category","ACT","Activity","UNIT","Unit","VAR","Variable","SRC","Source","TIME","Time","Value","Flag Codes","Flags"
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2008","2008",2040,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR517","Vegetable waste","SOURCE30","EUROSTAT","2010","2010",8201,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2009","2009",2,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR5","Animal and vegetal waste","SOURCE30","EUROSTAT","2009","2009",2,,
"DNK","Denmark","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR517","Vegetable waste","SOURCE30","EUROSTAT","2009","2009",1,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",29819,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2006","2006",2671,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",25460,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2004","2004",13100,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2006","2006",100,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","TONNES","tonnes","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2008","2008",6976,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2004","2004",6,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR3","Animal and mixed food waste; vegetal waste","SOURCE30","EUROSTAT","2008","2008",5,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2004","2004",3,,
"FIN","Finland","WIG","2. Waste in general","AGRICULTURALPRODUCTION","Agricultural production","KGBYCAPITA","kg/capita","FWVAR12","Animal waste of food preparation and products","SOURCE30","EUROSTAT","2008","2008",1,,
